date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:38	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2013%20Feb%202026%2011:23:37%20GMT	https://html.themehour.net/robots.txt		(from )
16:53:38	105888/105888	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2017:17:02%20GMT	https://html.themehour.net/atek/	D:/php/laravel/abc/public/assets/templates/atek/html.themehour.net/atek/index.html	(from )
16:53:39	4535/4535	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Sep%202025%2017:17:02%20GMT	https://html.themehour.net/atek/assets/img/favicons/apple-icon-57x57.png	D:/php/laravel/abc/public/assets/templates/atek/html.themehour.net/atek/assets/img/favicons/apple-icon-57x57.png	(from https://html.themehour.net/atek/)
16:53:39	4792/4792	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Sep%202025%2017:17:02%20GMT	https://html.themehour.net/atek/assets/img/favicons/apple-icon-60x60.png	D:/php/laravel/abc/public/assets/templates/atek/html.themehour.net/atek/assets/img/favicons/apple-icon-60x60.png	(from https://html.themehour.net/atek/)
16:53:39	6426/6426	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Sep%202025%2017:17:02%20GMT	https://html.themehour.net/atek/assets/img/favicons/apple-icon-72x72.png	D:/php/laravel/abc/public/assets/templates/atek/html.themehour.net/atek/assets/img/favicons/apple-icon-72x72.png	(from https://html.themehour.net/atek/)
16:53:39	6951/6951	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Sep%202025%2017:17:02%20GMT	https://html.themehour.net/atek/assets/img/favicons/apple-icon-76x76.png	D:/php/laravel/abc/public/assets/templates/atek/html.themehour.net/atek/assets/img/favicons/apple-icon-76x76.png	(from https://html.themehour.net/atek/)
16:53:39	11522/11522	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Sep%202025%2017:17:02%20GMT	https://html.themehour.net/atek/assets/img/favicons/apple-icon-114x114.png	D:/php/laravel/abc/public/assets/templates/atek/html.themehour.net/atek/assets/img/favicons/apple-icon-114x114.png	(from https://html.themehour.net/atek/)
16:53:40	12149/12149	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Sep%202025%2017:17:02%20GMT	https://html.themehour.net/atek/assets/img/favicons/apple-icon-120x120.png	D:/php/laravel/abc/public/assets/templates/atek/html.themehour.net/atek/assets/img/favicons/apple-icon-120x120.png	(from https://html.themehour.net/atek/)
16:53:40	16558/16558	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Sep%202025%2017:17:02%20GMT	https://html.themehour.net/atek/assets/img/favicons/apple-icon-144x144.png	D:/php/laravel/abc/public/assets/templates/atek/html.themehour.net/atek/assets/img/favicons/apple-icon-144x144.png	(from https://html.themehour.net/atek/)
16:53:40	18060/18060	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Sep%202025%2017:17:02%20GMT	https://html.themehour.net/atek/assets/img/favicons/apple-icon-152x152.png	D:/php/laravel/abc/public/assets/templates/atek/html.themehour.net/atek/assets/img/favicons/apple-icon-152x152.png	(from https://html.themehour.net/atek/)
